Item Number,Item Name,Item Description,Attribute,Size,Regular Price,Department Name,Manufacturer,Qty 1
489,R7C-04,HANKOOK DYNAPRO AT-M,SL,265/70R17,114.36,AUTO TIRES,HANKOOK,1
490,R7C-05,SUPERMAX TM-1,SL,225/50R17,48.768,AUTO TIRES,SUPERMAX,1
491,R7C-06,SUPERMAX TM-1,SL,225/50R17,48.768,AUTO TIRES,SUPERMAX,1
492,R7C-07,BFGOODRICH ADVANTAGE T/A,SL,215/55R17,95.992,AUTO TIRES,BFGOODRICH,1
493,R7C-08,MILESTAR MS932 SPORT,SL,225/60R17,55.976,AUTO TIRES,MILESTAR,1
494,R7C-09,SUPERMAX TM-1,SL,225/50R17,48.768,AUTO TIRES,SUPERMAX,1
495,R7C-10,LINGLONG CROSSWIND M/T,E,235/80R17,105.104,AUTO TIRES,LINGLONG,1
496,R7C-11,ANTARES COMFORT A5,SL,225/65R17,63.592,AUTO TIRES,ANTARES,1
497,R7C-12,MILESTAR PATAGONIA A/T,SL,245/65R17,71.168,AUTO TIRES,MILESTAR,1
498,R7C-13,FIRESTONE DESTINATION LE2,SL,265/65R17,126.368,AUTO TIRES,FIRESTONE,1
499,R7C-14,KUMHO CRUGEN HT51,SL,245/70R17,86.384,AUTO TIRES,KUMHO,1
500,R7C-15,WESTLAKE RADIAL SL309,E,245/75R17,101.056,AUTO TIRES,WESTLAKE,1
501,R7C-16,COOPER DISCOVERER A/T3,SL,265/65R17,136.8,AUTO TIRES,COOPER,1
502,R7C-17,ANTARES COMFORT A5,SL,225/65R17,63.592,AUTO TIRES,ANTARES,1
503,R7C-18,ANTARES COMFORT A5,SL,225/65R17,63.592,AUTO TIRES,ANTARES,1
504,R7C-19,LINGLONG CROSSWIND M/T,E,235/80R17,105.104,AUTO TIRES,LINGLONG,1
505,R7C-20,KUMHO CRUGEN HT51,SL,245/70R17,86.384,AUTO TIRES,KUMHO,1
506,R7C-21,MASTERCRAFT COURSER MXT,D,37X12.50R17,215.176,AUTO TIRES,MASTERCRAFT,1
199,R3B-11,SUMITOMO HTR A/S P02,SL,205/55R16,72.792,AUTO TIRES,SUMITOMO,1
200,R3B-12,SUPERMAX TM-1,SL,215/70R16,54.368,AUTO TIRES,SUPERMAX,1
201,R03B-13,LEXANI LX-TWENTY,XL,275/35ZR20,69.048,AUTO TIRES,LEXANI,1
202,R3B-14,SUPERMAX TM-1,SL,215/65R16,44.656,AUTO TIRES,SUPERMAX,1
203,R03B-15,HANKOOK DYNAPRO HP2,XL,255/55R19,153.56,AUTO TIRES,HANKOOK,1
204,R3B-16,SUPERMAX TM-1,SL,225/70R16,57.568,AUTO TIRES,SUPERMAX,1
205,R3B-17,FIRESTONE ALL SEASON,SL,235/70R16,96,AUTO TIRES,FIRESTONE,1
206,R3B-18,SUPERMAX TM-1,SL,215/65R16,44.656,AUTO TIRES,SUPERMAX,1
207,R3B-19,SUPERMAX TM-1,SL,215/60R16,42.368,AUTO TIRES,SUPERMAX,1
