Item Number,Item Name,Item Description,Attribute,Size,Regular Price,Department Name,Manufacturer,Qty 1
153,R2C-14,BFGOODRICH RADIAL T/A,SL,235/70R15,107.168,AUTO TIRES,BFGOODRICH,1
154,R2C-15,CARLISLE AT489 XL,ATV,AT26X11-12,75.992,ATV TIRES,CARLISLE,1
155,R2C-16,SUPERMAX TM-1,SL,215/60R15,44.768,AUTO TIRES,SUPERMAX,1
156,R2C-17,SUPERMAX TM-1,SL,215/60R15,44.768,AUTO TIRES,SUPERMAX,1
157,R2C-18,MILESTAR PATAGONIA M/T,C,33X12.50R15,131.968,AUTO TIRES,MILESTAR,1
158,R02C-19,HANKOOK VENTUS S1 NOBLE2,XL,245/50ZR19,137.352,AUTO TIRES,HANKOOK,1
159,R2C-20,GOODYEAR EAGLE RS-A,SL,195/60R15,62.528,AUTO TIRES,GOODYEAR,1
160,R2C-21,SUPERMAX TM-1,SL,195/60R15,38.368,AUTO TIRES,SUPERMAX,1
161,R2C-22,SUPERMAX TM-1,SL,215/60R15,44.768,AUTO TIRES,SUPERMAX,1
162,R2C-23,BRIDGESTONE BLIZZAK WS80,SL,185/65R15,59.376,AUTO TIRES,BRIDGESTONE,1
